"date","close","volume","open","high","low"
"2010/11/16","40.2550","6465424.0000","40.7900","41.1200","40.1300"
"2010/11/15","40.9000","3971280.0000","41.4550","41.4700","40.8500"
"2010/11/12","41.3100","3801370.0000","41.5950","41.8250","41.0213"
"2010/11/11","41.8350","3338516.0000","41.6750","41.9000","41.4950"
"2010/11/10","41.9400","4400690.0000","41.5700","41.9950","41.4100"
"2010/11/09","41.6000","4852752.0000","41.8250","41.8450","41.4400"
"2010/11/08","41.8050","3633108.0000","41.8300","41.9200","41.4800"
"2010/11/05","42.0550","4505286.0000","41.6200","42.0550","41.6200"
"2010/11/04","41.7050","4937872.0000","41.3600","41.7450","41.2000"
"2010/11/03","40.9150","3513324.0000","40.8650","41.0850","40.4800"
"2010/11/02","40.8750","3558998.0000","40.9000","41.1200","40.7550"
"2010/11/01","40.5500","3791912.0000","40.9400","41.0000","40.2950"
"2010/10/29","40.7200","4025890.0000","40.4700","40.7450","40.3250"
"2010/10/28","40.5550","3251478.0000","40.6550","40.8500","40.2850"
"2010/10/27","40.5150","4485102.0000","40.6200","40.6750","40.1350"
"2010/10/26","40.9100","5009622.0000","40.8200","41.1100","40.6300"
"2010/10/25","41.0250","4441572.0000","41.2850","41.5150","41.0050"
"2010/10/22","40.9600","2120268.0000","41.0550","41.2650","40.8550"
"2010/10/21","41.0550","5786682.0000","40.8100","41.4200","40.7450"
"2010/10/20","40.6200","3766684.0000","40.5200","40.8350","40.4250"
"2010/10/19","40.3650","5408262.0000","40.2300","40.7750","40.0400"
"2010/10/18","40.8300","3148274.0000","41.0000","41.0600","40.7500"
"2010/10/15","41.0000","4137518.0000","41.1300","41.2300","40.8100"
"2010/10/14","40.8850","4705142.0000","40.8600","41.1350","40.6700"
"2010/10/13","41.0100","5242554.0000","41.1900","41.3750","40.7500"
"2010/10/12","40.9450","11248674.0000","41.5000","41.7000","40.9000"
"2010/10/11","40.9900","4897704.0000","40.8100","41.1500","40.7500"
"2010/10/08","41.0200","9467574.0000","40.4700","41.3000","40.4500"
"2010/10/07","40.4950","6091830.0000","40.6350","40.6600","40.1550"
"2010/10/06","40.6550","4801770.0000","40.5150","40.6550","40.4100"
"2010/10/05","40.6500","6735414.0000","40.3000","40.7350","40.1350"
"2010/10/04","39.9400","5175324.0000","39.9600","40.1300","39.5209"
"2010/10/01","40.1250","7078820.0000","40.4800","40.4800","39.9150"
"2010/09/30","40.0700","6720084.0000","40.0050","40.4000","39.7550"
"2010/09/29","39.9650","7286496.0000","40.1350","40.2050","39.6150"
"2010/09/28","40.3200","10853286.0000","39.5350","40.4100","39.2850"
"2010/09/27","39.5550","9386612.0000","39.7100","39.7500","39.0750"
"2010/09/24","39.7850","16666602.0000","40.6750","40.8500","39.7400"
"2010/09/23","38.8350","8793062.0000","38.4500","39.0600","38.2950"
"2010/09/22","38.6550","5243822.0000","38.7350","38.9950","38.3500"
"2010/09/21","38.8450","6605958.0000","38.9650","39.0350","38.6100"
"2010/09/20","39.1850","7549666.0000","38.6500","39.5200","38.6450"
"2010/09/17","38.6300","6071864.0000","38.4650","38.7700","38.2400"
"2010/09/16","38.3200","4346570.0000","38.1500","38.4350","37.9600"
"2010/09/15","38.2800","7892216.0000","37.5750","38.3550","37.4650"
"2010/09/14","37.6350","4978256.0000","37.2350","37.9400","37.1850"
"2010/09/13","37.3400","4928648.0000","37.2050","37.6400","37.1900"
"2010/09/10","36.8750","4067802.0000","37.0750","37.4250","36.8350"
"2010/09/09","36.9600","3502486.0000","37.4150","37.5100","36.8000"
"2010/09/08","37.0700","4599026.0000","37.1200","37.3550","36.9500"
"2010/09/07","37.0100","4050142.0000","36.8900","37.2350","36.8750"
"2010/09/03","37.1250","6000840.0000","36.8700","37.2200","36.6250"
"2010/09/02","36.4800","4811288.0000","36.0400","36.5350","35.8850"
"2010/09/01","36.0650","6868246.0000","35.5650","36.1100","35.4100"
"2010/08/31","35.0000","5970812.0000","35.0050","35.3800","34.7900"
"2010/08/30","35.1800","5038238.0000","35.3600","35.7000","34.9800"
"2010/08/27","35.4700","5311758.0000","35.3650","35.5800","34.8500"
"2010/08/26","35.1950","6779280.0000","35.3250","35.8600","35.1700"
"2010/08/25","35.0650","6296562.0000","34.7250","35.1825","34.1600"
"2010/08/24","35.0250","5292010.0000","35.0150","35.3650","34.7050"
"2010/08/23","35.4750","3915570.0000","35.8150","36.1950","35.4750"
"2010/08/20","35.6300","3574506.0000","35.3650","35.7050","35.2450"
"2010/08/19","35.6700","4927446.0000","35.9050","36.0050","35.2800"
"2010/08/18","36.1200","4379608.0000","35.8450","36.3550","35.4700"
"2010/08/17","35.8550","5059506.0000","35.8750","36.3550","35.7350"
"2010/08/16","35.5300","4762934.0000","35.0550","35.7350","34.8850"
"2010/08/13","35.2900","4373678.0000","35.7050","35.7400","35.2400"
"2010/08/12","35.7600","4866192.0000","35.4950","35.8950","35.3500"
"2010/08/11","36.0400","6067074.0000","36.3850","36.3900","35.7400"
"2010/08/10","36.9550","4678410.0000","36.7100","37.1950","36.4000"
"2010/08/09","37.0600","3940720.0000","37.0700","37.5000","36.9400"
"2010/08/06","36.9800","3849562.0000","36.7100","37.0450","36.3900"
"2010/08/05","37.0300","4009490.0000","36.7250","37.1800","36.6500"
"2010/08/04","37.0000","6069246.0000","36.5900","37.1850","36.5650"
"2010/08/03","36.5500","6361078.0000","37.1000","37.1000","36.4250"
"2010/08/02","37.1600","5120160.0000","37.1950","37.4850","36.9700"
"2010/07/30","36.8200","4323030.0000","36.5050","36.9750","36.3200"
"2010/07/29","36.7650","4776194.0000","36.8250","37.0550","36.3400"
"2010/07/28","36.5550","4211150.0000","36.8200","37.0100","36.4350"
"2010/07/27","36.8400","5206290.0000","36.8500","36.9250","36.4200"
"2010/07/26","36.6100","5245974.0000","36.3550","36.9750","36.2413"
"2010/07/23","36.3700","5760202.0000","35.7500","36.5800","35.5800"
"2010/07/22","35.7800","6691884.0000","35.1950","36.0600","35.1800"
"2010/07/21","34.8250","7893674.0000","35.0650","35.5350","34.6550"
"2010/07/20","34.9200","7374576.0000","33.9500","35.0000","33.8100"
"2010/07/19","34.3050","4789128.0000","34.5700","34.7350","34.0950"
"2010/07/16","34.4800","6826042.0000","35.1750","35.3300","34.3450"
"2010/07/15","35.3250","7050948.0000","35.1700","35.4000","34.6750"
"2010/07/14","35.2700","5814804.0000","35.0800","35.3000","34.7350"
"2010/07/13","35.2350","6063970.0000","35.2000","35.4600","35.0100"
"2010/07/12","34.9050","4447158.0000","34.9850","35.2350","34.6400"
"2010/07/09","35.0750","5481274.0000","35.0800","35.1050","34.7600"
"2010/07/08","35.1400","8883154.0000","34.6150","35.2400","34.5100"
"2010/07/07","34.2800","8584740.0000","33.7350","34.2950","33.5050"
"2010/07/06","33.6050","8408882.0000","34.1050","34.5850","33.1700"
"2010/07/02","33.9300","5813552.0000","34.0950","34.4700","33.7150"
"2010/07/01","34.0350","10207128.0000","33.9450","34.2500","33.3850"
"2010/06/30","33.7750","9258822.0000","33.9700","34.5700","33.6500"
"2010/06/29","34.0850","11630400.0000","34.8150","34.8350","33.7200"
"2010/06/28","35.2500","6332006.0000","35.2500","35.4350","34.8125"
"2010/06/25","35.0600","9045068.0000","34.9300","35.2350","34.4500"
"2010/06/24","34.8150","18026202.0000","35.0050","35.3350","34.6000"
"2010/06/23","36.2600","5758896.0000","36.3300","36.5885","35.7500"
"2010/06/22","36.2300","5192380.0000","37.2200","37.5000","36.0850"
"2010/06/21","37.1750","5591154.0000","37.7450","37.9600","36.9100"
"2010/06/18","37.4700","5545102.0000","37.4000","37.6150","37.2350"
"2010/06/17","37.2850","5867952.0000","37.2100","37.3500","36.8150"
